REF                                                                                                                                                     TYPE                                                      DIGEST                                                                  SIZE      PLATFORMS                                                   LABELS                          
docker.io/jujusolutions/jujud-operator@sha256:faa7001df54eaba07bce8d3b6096629b5ce9e53c41cf978bae645c9e0b687082                                          application/vnd.docker.distribution.manifest.list.v2+json sha256:faa7001df54eaba07bce8d3b6096629b5ce9e53c41cf978bae645c9e0b687082 104.0 MiB linux/amd64,linux/arm64,linux/ppc64le,linux/s390x           io.cri-containerd.image=managed 
docker.io/metallb/controller:v0.9.3                                                                                                                     application/vnd.docker.distribution.manifest.list.v2+json sha256:c0c6f8655f9c855bc6e10c9a9975413d253b91063e91732021f07eca140797eb 16.3 MiB  linux/amd64,linux/arm,linux/arm64,linux/ppc64le,linux/s390x io.cri-containerd.image=managed 
docker.io/metallb/controller@sha256:c0c6f8655f9c855bc6e10c9a9975413d253b91063e91732021f07eca140797eb                                                    application/vnd.docker.distribution.manifest.list.v2+json sha256:c0c6f8655f9c855bc6e10c9a9975413d253b91063e91732021f07eca140797eb 16.3 MiB  linux/amd64,linux/arm,linux/arm64,linux/ppc64le,linux/s390x io.cri-containerd.image=managed 
docker.io/metallb/speaker:v0.9.3                                                                                                                        application/vnd.docker.distribution.manifest.list.v2+json sha256:2b74eca0f25e946e9a1dc4b94b9da067b1fec4244364d266283dfbbab546a629 18.3 MiB  linux/amd64,linux/arm,linux/arm64,linux/ppc64le,linux/s390x io.cri-containerd.image=managed 
docker.io/metallb/speaker@sha256:2b74eca0f25e946e9a1dc4b94b9da067b1fec4244364d266283dfbbab546a629                                                       application/vnd.docker.distribution.manifest.list.v2+json sha256:2b74eca0f25e946e9a1dc4b94b9da067b1fec4244364d266283dfbbab546a629 18.3 MiB  linux/amd64,linux/arm,linux/arm64,linux/ppc64le,linux/s390x io.cri-containerd.image=managed 
quay.io/kubernetes-ingress-controller/nginx-ingress-controller:0.33.0                                                                                   application/vnd.docker.distribution.manifest.list.v2+json sha256:fc650620719e460df04043512ec4af146b7d9da163616960e58aceeaf4ea5ba1 111.5 MiB linux/amd64,linux/arm/v7,linux/arm64,linux/s390x            io.cri-containerd.image=managed 
quay.io/kubernetes-ingress-controller/nginx-ingress-controller@sha256:fc650620719e460df04043512ec4af146b7d9da163616960e58aceeaf4ea5ba1                  application/vnd.docker.distribution.manifest.list.v2+json sha256:fc650620719e460df04043512ec4af146b7d9da163616960e58aceeaf4ea5ba1 111.5 MiB linux/amd64,linux/arm/v7,linux/arm64,linux/s390x            io.cri-containerd.image=managed 
registry.jujucharms.com/istio-charmers/istio-ingressgateway/oci-image@sha256:89b5fe2df96920189a193dd5f7dbd776e00024e4c1fd1b59bb53867278e9645a           application/vnd.docker.distribution.manifest.v2+json      sha256:89b5fe2df96920189a193dd5f7dbd776e00024e4c1fd1b59bb53867278e9645a 105.9 MiB linux/amd64                                                 io.cri-containerd.image=managed 
registry.jujucharms.com/istio-charmers/istio-pilot/oci-image@sha256:e3e03b31cebfc4c73d4788b83af3339685673970a5c3bf3167db399d39696ed8                    application/vnd.docker.distribution.manifest.v2+json      sha256:e3e03b31cebfc4c73d4788b83af3339685673970a5c3bf3167db399d39696ed8 86.0 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
registry.jujucharms.com/kubeflow-charmers/admission-webhook/oci-image@sha256:1abb1276f73b297f0d22d12260e7d5d3270868524ddbcc546a4689610d1deaa4           application/vnd.docker.distribution.manifest.v2+json      sha256:1abb1276f73b297f0d22d12260e7d5d3270868524ddbcc546a4689610d1deaa4 39.3 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
