REF                                                                                                                                                     TYPE                                                      DIGEST                                                                  SIZE      PLATFORMS                                                   LABELS                          
sha256:a89faaa1676a9f32898aff8fc9882464d1f1d4f1471addb2b97847b4f2d4eab2                                                                                 application/vnd.docker.distribution.manifest.list.v2+json sha256:bbf7e3ac3f80d0a356a6c27b095bd313d1106f8ed84f85850816ed79295843c1 73.2 MiB  linux/amd64,linux/arm64,linux/ppc64le                       io.cri-containerd.image=managed 
sha256:ba2a19242d67cd37b5f15e7d649767733c8c750f12fb07ea9794d70cce21fdce                                                                                 application/vnd.docker.distribution.manifest.v2+json      sha256:0431ac5b9fd80169c71f7a70cec8607118bbc82988d08d9eef99f8f628afc772 12.4 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
sha256:bbaa2a6ab3d380845980a7768979d259646a3bdb670dfd8d68f9e75e473f3449                                                                                 application/vnd.docker.distribution.manifest.v2+json      sha256:cab368acde5f9d2b19fe21f5fe967ab332cb62bda4e982b15b82ac0e9dc96e93 38.2 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
sha256:c2d7972571213a9fb6e760bcd5230c7766aa54fe4189fffd3be80681c8265efc                                                                                 application/vnd.docker.distribution.manifest.v2+json      sha256:fa5e6982d453130b5226a96dfe3636a4ede004dc063511b3926d39c2b6cf25b5 29.2 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
sha256:c43173bacced08696d6c8b0f01e3b21a4f5df635c87036ed8036c7b9e50458ca                                                                                 application/vnd.docker.distribution.manifest.v2+json      sha256:7e4f4ab4353f33a5f98eafb8bbe60054b5e93273daeaa2017af10b38a373ce5a 20.6 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
sha256:cc4d8e8c6169c7ff13f4178ff2915cbd41e6a42cf300d2ef5c9dcdefae59f45e                                                                                 application/vnd.docker.distribution.manifest.list.v2+json sha256:41bee6992c2ed0f4628fcef75751048927bcd6b1cee89c79f6acb63ca5474d5a 12.3 MiB  linux/amd64,linux/arm,linux/arm64,linux/ppc64le,linux/s390x io.cri-containerd.image=managed 
sha256:d0f63f453544b7d16364b4c17612ad23a311c251702b03408d22b90bab0c5cb1                                                                                 application/vnd.docker.distribution.manifest.v2+json      sha256:5366ed9a8520df09cea8abe55823794ed697306884b4a1268e96459c2cf52fe6 14.5 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
sha256:d26dc2486c6f92fdfbdda8f5a3169263661c35b124bc93b1b12728677ca6a142                                                                                 application/vnd.docker.distribution.manifest.v2+json      sha256:bf455b1cc183b6537f8cf7446e105e3a6e8154123a28298b1a2234c0ab0a3de6 31.1 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
sha256:dc1b767a640779f86aab4258c70d595ca2fd2aee21db2e4342a467a7be6a911e                                                                                 application/vnd.docker.distribution.manifest.v2+json      sha256:339f78eabc68ffb1656d584e41f121cb4d2b667565428c8dde836caf5b8a0228 9.3 MiB   linux/amd64                                                 io.cri-containerd.image=managed 
sha256:e0cd4d19d7a46603418ae9a165c3213a43cd40b6c0e4f6f5bf13786cc35f9c9f                                                                                 application/vnd.docker.distribution.manifest.v2+json      sha256:8adce0d5afbf663a0125ca3dbca4ec4d293dd170587d2db4c686075b1ac9ebd3 13.8 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
sha256:e54fb386ae679cd03543903849bbbbefc2728b7fd76caab0fb2c0f2d984456b0                                                                                 application/vnd.docker.distribution.manifest.v2+json      sha256:9c2b346d124460be9e52c96509cba94978a654e76fa8126274114758eb8a8de8 35.3 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
sha256:e625f32e4f83c768ef792f52d9127367f7a19a50397c449d4238d05ff6ce19ef                                                                                 application/vnd.docker.distribution.manifest.v2+json      sha256:783136045e37d4e71b21c1c14ef5739f9d8a997dae40a36d60a936d9545cd871 19.5 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
sha256:e8220eb7550b663090b7e74c9d90d097373e5128c3fde1658f9f37da0df04179                                                                                 application/vnd.docker.distribution.manifest.v2+json      sha256:cd1739f5924fc5561480ff08889a0cb81ee4a05a3a59736fc20523ea8fab5fec 26.7 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
sha256:f241be9dae66654ca9c3fc0ade0ac4c042cf360518a77520d196035057644eee                                                                                 application/vnd.docker.distribution.manifest.list.v2+json sha256:2b74eca0f25e946e9a1dc4b94b9da067b1fec4244364d266283dfbbab546a629 18.3 MiB  linux/amd64,linux/arm,linux/arm64,linux/ppc64le,linux/s390x io.cri-containerd.image=managed 
sha256:f53cb6c5274b82a2b17d10436ccff5d9197b017db12b3f2685241465c8a14ece                                                                                 application/vnd.docker.distribution.manifest.list.v2+json sha256:d6f685f2135da787686b8a54272d974f9b2e71faa61537bb1729e3f69224b00c 96.7 MiB  linux/amd64,linux/arm64,linux/ppc64le,linux/s390x           io.cri-containerd.image=managed 
sha256:fa6a0a051ac3a4c08bd83ab3b6036b796d132d02a1bd585c1bc88d1a711243cb                                                                                 application/vnd.docker.distribution.manifest.v2+json      sha256:259230422a02b1d071a63a27278707a319ac5f5002749b07c2377e02e9fbfc3d 330.6 MiB linux/amd64                                                 io.cri-containerd.image=managed 
sha256:faf2a0a604cdcfd0bbb4a4227c6a9d81e2b2d22c9bbd87d2e76693317da1e028                                                                                 application/vnd.docker.distribution.manifest.v2+json      sha256:1abb1276f73b297f0d22d12260e7d5d3270868524ddbcc546a4689610d1deaa4 39.3 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
sha256:fbb9478e00d7877bb7db243de44a6e5dee5fd8fb5c1e9d0ea58f5725fafc5a0e                                                                                 application/vnd.docker.distribution.manifest.v2+json      sha256:9dc5ad9e0b3ed59afa4febe8d663fd545628c60886a2c9fcd0e186e5cf6343ef 52.1 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
sha256:fce130b42e0be7ec85c3cae68c4dd90ea043bca2b01146161d7f312add05360b                                                                                 application/vnd.docker.distribution.manifest.v2+json      sha256:779b03a1b7b407644a0526632631d2395716bbb2388572833dc99a57fd319209 105.1 MiB linux/amd64                                                 io.cri-containerd.image=managed 
